Comment,irony,
上瘾 恰烂 钱 恰 上瘾 了,1,14
上瘾 钱 恰 恰烂 了,1,11
上有老下有小,1,6
上有老下有小 上有老下有小,1,13
尚 饭否 能,1,6
尚 能 饭否,1,6
尚 尚 能 饭否,1,8
尚能饭否,1,4
烧火,1,2
烧火 烧火,1,5
烧烤吃多了,0,5
少不怪 见识 你,1,8
少不入川啊,0,5
少打了个“又”字,0,8
少管所,0,3
少管所还是得有,0,7
少了,0,2
少一点贪污,0,5
少造谣少传谣,0,6
少走十年弯路,0,6
绍伊古💩都被打出来了,1,11
绍伊古都承认朝鲜世界第一,1,12
蛇好像会记路,0,6
蛇蝎心肠,0,4
设计得没水准啊,0,7
设计师不背锅,0,6
社会,1,2
社会 还 运转,1,7
社会 特权,1,5
社会 特权 社会,1,8
社会到处都是坑,0,7
社会环境,0,4
社会领域第17名,0,8
社会学家 没有 社会学家,1,12
社会正能量,0,5
社会治安也行,0,6
社区医院,0,4
涉事人调岗】,0,6
摄氏三十七度,0,6
摄像头 个人 形自 走 还有,1,14
伸头就是一刀,0,6
身处朝阳,0,4
身体不好,0,4
身体健康还好,0,6
绅士个锤子,0,5
深感悲痛,0,4
深蓝,0,2
深圳嘛,0,3
深圳是真饱和了,0,7
什么,0,2
什么 大人物 这 两步 路会,1,14
什么 大人物 走 这 两步,1,13
什么 道歉 有 什么 用处,1,13
什么 的 有 录像 可录 的,1,14
什么 懂 不 叫 优胜劣汰 吗,1,15
什么 法律 法律 呀,1,10
什么 法律 呀,1,7
什么 是 劳动法 玩意,1,11
什么 是 是 休假,1,9
什么 是 休假,1,7
什么 问题,1,5
什么 休 什么 假,1,9
什么 休假,1,5
什么 休假 是,1,7
什么 意义,1,5
什么 有 道歉 用处,1,10
什么 有 问题,1,7
什么sb,0,4
什么鄙视链,0,5
什么措施都采取了,0,8
什么大人物走这两步路会死,1,12
什么都不知道,0,6
什么都没做,0,5
什么都向网上发,0,7
什么都做成生意,0,7
什么都做得出来,0,7
什么法律呀,1,5
什么概念,0,4
什么叫垃圾专业,0,7
什么叫排球梦,0,6
什么叫做公厕,0,6
什么酒店,0,4
什么量子监控,0,6
什么钱都想捞,0,6
什么人放行的,0,6
什么时候交养路费,0,8
什么时候停,0,5
什么世道,0,4
什么世道 呀,1,6
什么世道 呀 呀,1,8
什么世道呀,1,5
什么是“黑我”,0,7
什么是狗,0,4
什么是休假,1,5
什么玩楞,0,4
什么样的叫劣质,0,7
什么样儿算特殊,0,7
什么原因,0,4
什么原因啊,0,5
什么运气太差,0,6
什么正义,0,4
神经病,0,3
神经病 偿还,1,6
神经病 偿还 偿还,1,9
神经病 神经病 偿还,1,10
神经病偿还,1,5
神经病一样的发言,0,8
神经病越来越多了,0,8
神奇,0,2
神奇的公摊,0,5
沈阳还好点,0,5
审核,0,2
审计一下,0,4
甚至不是自首,0,6
甚至差不止一档,0,7
甚至于家人的,0,6
升啥啊,0,3
生 ️ 警告 ⚠ 孩子,1,11
生 孩子 ⚠ 警告 ️,1,11
生 孩子 警告 ⚠ ️,1,11
生 生 孩子 警告 ⚠ ️,1,13
生不出孩子,0,5
生不生我们管不了,0,8
生产这么慢,0,5
生得贱,0,3
生个 就 不配 年轻人 病 么,1,15
生还几率不大,0,6
生孩子警告⚠️,1,7
生活不易,0,4
生活不易啊,0,5
生活压力太大了,0,7
生活中,0,3
生姜,0,2
生两个的,0,4
生命为贵,0,4
生命至上,0,4
生命重要啊,0,5
生人 坑 生人 一半,1,10
生人 坑 一半,1,7
生人 坑 一半 一半,1,10
生人坑一半,1,5
生日快乐,0,4
生日快乐飞云宝贝,0,8
生死对决,0,4
生物人将灭绝,0,6
生意,1,2
生意 绝对 生意 爆火,1,11
生意本来就不好做,0,8
生意还挺好的,0,6
生者坚强,0,4
声声入耳,0,4
声势 徒长,1,5
声势 徒长 声势,1,8
省流就是我全都要,0,8
省油,0,2
圣诞节 中国 圣诞节 是 几号,1,15
圣母 把 流浪 猫 狗 养起来,1,15
圣母 去 翻 圣母 垃圾,1,12
圣母赶紧去帮忙,0,7
圣母应该把流浪猫狗养起来,1,12
盛mlg小鼻鼻哦,0,8
尸位素餐,0,4
尸战朝鲜(王国),0,8
失控 情绪 女人,1,8
失业这么多,0,5
师范大学,0,4
施暴者就该入地狱,0,8
石狮这边,0,4
石砸狗叫了,0,5
时不时的疟疾,0,6
时而机灵时而憨憨,0,8
时间 到,1,4
时间不过半天时间,0,8
时间长了吃不起,0,7
实锤宁波热都了,0,7
实话难说,0,4
实话实说不让,0,6
实际上是这样吗,0,7
实名处罚,0,4
实莫须有[交税],0,8
实事求是,0,4
实事求是说吧,0,6
实体店利润非常大,0,8
实质不是赌,0,5
食安法需要遵守,0,7
食品,0,2
食品安全 入刑 重罚,1,10
食品安全 入刑 重罚 入刑,1,13
食品安全 重罚,1,7
食品安全 重罚 入刑,1,10
食品安全 重罚 重罚 入刑,1,13
食品安全不严谨了,0,8
食品安全大于天,0,7
食品安全法,0,5
食品安全重罚入刑,1,8
食品卫生局呢,0,6
食堂,0,2
食物人手不够,0,6
使 怕 是 不好 脑子,1,11
使劲炒,0,3
世间 世间 之大 无奇不有,1,13
世间 无奇不有 之大,1,10
世间 之大,1,5
世间 之大 无奇不有,1,10
世间之大无奇不有,1,8
世界 其他 国家 女性,1,11
世界其他国家女性只有xx染色体,1,15
世界这么大,0,5
世上只有妈妈好,0,7
世世代代 的 旱涝保收 黑土地,1,15
世世代代 旱涝保收 的 黑土地,1,15
世世代代旱涝保收的黑土地,1,12
市场行为,0,4
市场监督局呢,0,6
市区里叫车秒接单,0,8
市长先下来,0,5
似曾相识的哦,0,6
事 多大点 事,1,7
事出有因才犯法的,0,8
事后继续抛,0,5
事解决了,0,4
事实就是啊,0,5
事实就是全部关闭,0,8
事实求是,0,4
事实已经发生,0,6
事实证明,0,4
事也没办,0,4
事业无可挑剔,0,6
试卷密封,0,4
试验失败了,0,5
视频断章取义,0,6
视频里面看,0,5
视频太多,0,4
视频系偷拍,0,5
视器视力损伤,0,6
拭泪且问心,0,5
拭目以待,0,4
是 啊,1,3
是 啊 女 的 啊,1,9
是 爸妈 是 真爱,1,9
是 被 扇 路边 的 吧,1,12
是 不会 您 台湾人 吧,1,12
是 的 杀 要,1,7
是 果然 核 废水 喝多 了,1,14
是 黄 e,1,5
是 回复,1,4
是 了,1,3
是 临时工,1,5
是 临时工 回复,1,8
是 临时工 临时工 回复,1,12
是 没事找事 有 多 闲,1,12
是 男方 必须 是 精神病,1,13
是 您 是 在 马 国人,1,12
是 您 在 马 国人,1,10
是 女 的 啊,1,7
是 拍 给 你 妈 那 吗,1,13
是 其实 全国 到处 都 是,1,14
是 是 女 的 啊,1,9
是 是 这个 道理,1,9
是 休假,1,4
是 要 杀,1,5
是 要 杀 的,1,7
是 要 杀 的 的,1,9
是 这个 道理,1,7
是 这特 么 是 为啥,1,11
是 真的 就是 多 傻 钱 人,1,15
是 真的 就是 人 傻 多,1,13
是 真的 就是 人 傻 钱 多,1,15
是 真的 是 黄 e,1,10
是 中国 圣诞节 是 几号,1,13
是 重要 还是 命 更,1,11
是 重要 还是 命 更 重要,1,14
是 作用 啥,1,6
是 作用 是 啥,1,8
是啊,0,2
是吧,0,2
是被人扇到路边的吧,1,9
是不可或缺的,0,6
是不渴望皿煮滋油是吧,1,10
是不是 啊 的 气候 战 美国,1,15
是不是 的 战 啊,1,9
是不是 该 保研 了,1,10
是不是 该 保研 了 了,1,12
是不是 该 了 保研 了,1,12
是不是 美国 的 啊 战 气候,1,15
是不是 美国 的 气候 战 啊,1,15
是不是 你 清楚 心里 自己,1,14
是不是 你 自己 清楚,1,11
是不是 你 自己 心里 清楚,1,14
是不是 女生 又 玉玉 啊,1,13
是不是 心里 自己 你 清楚,1,14
是不是 自己 心里 清楚,1,12
是不是不太合时宜,0,8
是不是该保研了,1,7
是不是酒驾醉驾,0,7
是不是美国的气候战啊,1,10
是不是你自己心里清楚,1,10
是不是女生又玉玉威胁了啊,1,12
是不是双标,0,5
是不是他們說了,0,7
是不是逃犯阿,0,6
是不是也有借口说,0,8
是不是有点矫情了,0,8
是不愿接受旧衣服,0,8
是车子重要还是命更重要,1,11
是的,0,2
是的签字的,0,5
是的我们又破防了,0,8
是的要严查造谣者,0,8
是电贵还是桩贵,0,7
是对犯罪的庇护,0,7
是堕胎,0,3
是恶美丽卡,0,5
是二道贩子加价,0,7
是非常好的选择,0,7
是非圈,0,3
是个好建议,0,5
是个人才,0,4
是果,0,2
是孩子最大的毒药,0,8
是旱稻还是水稻,0,7
是合格的,0,4
是绝对的,0,4
是两年半!,0,5
是临时工回复,1,6
是妈妈应该孢孩子,0,8
是命没了,0,4
是哪个领导点头的,0,8
是那个红黄蓝吗,0,7
是那个人先违法的,0,8
是耐磨材质,0,5
是你吗,0,3
是宁波么,0,4
是女的啊,1,4
是女方拿刀逼你结婚了吗笑死我了,1,15
是人干的事吗,0,6
是啥领导的,0,5
是啥新鲜事吗,0,6
是什么新型病毒,0,7
是十个家庭,0,5
是是是,0,3
是双休,0,3
是私宅吗,0,4
是死鱼眼,0,4
是所有,0,3
是他报了俩,0,5
是台风干的吗,0,6
是条汉子,0,4
是同班同学,0,5
是拖鞋,0,3
是为了保护受害者,0,8
是我没炒熟,0,5
是无期还是死刑,0,7
是洗,0,2
是仙女也老了,0,6
是写着爱心座椅,0,7
是宣传不到位吗,0,7
是眼瞎嘛,0,4
是要杀的,1,4
是要讨论,0,4
是一个集团吗🙉,0,8
是因为毒教材么,0,7
是因为肛交吗,0,6
是因为她是女性,0,7
是印度来的么,0,6
是有多大个事,0,6
是有什么考试吗,0,7
是在长身体,0,5
是这个道理,1,5
是这样的,0,4
是这意思吗,0,5
是真爱,0,3
是真的,0,3
是真的不容易了,0,7
是真的就是人傻钱多,1,9
是真的吗,0,4
是真酒,0,3
是中间商跑路,0,6
是装监控,0,4
是最被看不起的,0,7
是最后一战,0,5
是最近又三阳了吗,0,8
是醉驾或毒驾,0,6
适合自己的,0,5
适可而止啊,0,5
逝于花样年华,0,6
逝者安息,0,4
逝者安息吧!,0,6
逝者为大,0,4
收150万的公司,0,8
收毕业证有啥用,0,7
收到,0,2
收费就不应该认栽,0,8
收了一百万欧元,0,7
收钱 吧,1,4
收钱 了 吧,1,6
收钱 了 吧 吧,1,8
收钱办事,0,4
收钱不办事,0,5
收钱了吧,1,4
收钱能办事儿,0,6
收入的确高,0,5
收益太低了,0,5
手臂动手指不动,0,7
手机 刷刷,1,5
手机 用 手机 也 要 电,1,13
手机都有摄魂功能,0,8
手机坏了直接换,0,7
手机有维修模式,0,7
手要 戒 的 关 我 嘴 什么,1,15
手要戒的关我嘴什么事,1,10
手艺人,0,3
手艺人好强,0,5
手重打得头破血流,0,8
手足无措,0,4
守法是最基本的了,0,8
守法者最自由,0,6
首都 给 首都 袭击,1,10
首都 给 袭击,1,7
首都 给 袭击 袭击,1,10
首都给袭击,1,5
首先很抱歉,0,5
受到法律制裁,0,6
受害 ： 不 和解,1,9
受害 方 ： 不 和解,1,11
受害 方 ： 方 不 和解,1,13
受害 方 ： 和解 不,1,11
受害 方 和解 不 ：,1,11
受害 方 受害 ： 不 和解,1,14
受害方：不和解,1,7
受害者爸爸不识字,0,8
受害者就是有罪,0,7
受害者一定没罪吗,0,8
受害者有罪论呢,0,7
受力面太大了,0,6
受灾严重,0,4
瘦弱的女生,0,5
书没白读,0,4
疏散通道,0,4
熟人,1,2
熟人 大满贯,1,6
熟人 大满贯 大满贯,1,10
熟人 人 便宜 点 不是 很,1,14
熟人 熟人 大满贯,1,9
熟人大满贯,1,5
熟人介绍拉人便宜点不是很正常,1,14
熟人买破锅,0,5
属于刑事案件了,0,7
鼠鼠 你,1,4
鼠鼠 你 你 呀,1,8
鼠鼠 你 呀,1,6
鼠鼠 你 呀 呀,1,8
鼠鼠 呀 你,1,6
鼠鼠你呀,1,4
数目多少都不重要,0,8
数罪并罚,0,4
刷存在感,0,4
刷了,0,2
刷刷,1,2
刷刷 手机,1,5
刷刷 手机 手机,1,8
刷刷 刷刷 手机,1,8
刷刷手机,1,4
耍流氓（｀Δ´）,0,8
摔倒了爬起来,0,6
摔懵了,0,3
甩锅甩的挺好,0,6
帅哥,0,2
帅气,0,2
双标呗,0,3
双标玩的挺溜,0,6
双方 达成 达成 和解,1,11
双方 达成 和解,1,8
双方 双方 达成 和解,1,11
双方不信喂,0,5
双方达成共识,0,6
双方达成和解,1,6
双方都没毛病~,0,7
双方和解,0,4
双方配合耍网友,0,7
双方自愿发生关系,0,8
双流整修限流,0,6
双平台持续热播,0,7
双向奔赴,0,4
双休 不了 狗叫 了,1,10
双休 都 不了 就别 了,1,12
双休都落实不了就别狗叫了,1,12
双休节假日都满的,0,8
双赢,0,2
谁 的,1,3
谁 的 的 裤腰带 没系 好,1,14
谁 的 放行 的,1,8
谁 的 裤腰带 没系 好,1,12
谁 的 没系 好,1,8
谁 放行 的,1,6
谁 放行 放行 的,1,9
谁 敢判,1,4
谁 给 你 啊 休假 错峰,1,13
谁 给 你 错峰 啊 休假 啊,1,15
谁 给 你 错峰 休假 啊,1,13
谁 公摊 合适 谁 就 公摊,1,14
谁 觉得 谁 就 多 要 公摊,1,15
谁 举报,1,4
谁 裤腰带,1,5
谁 没有,1,4
谁 你 鸟,1,5
谁 鸟 你,1,5
谁 鸟 鸟 你,1,7
谁 谁 的 裤腰带 没系 好,1,14
谁 谁 敢判,1,6
谁啊,0,2
谁当政都一个样,0,7
谁的裤腰带没系好,1,8
谁的演唱会啊,0,6
谁的责任谁负,0,6
谁都不能替代谁,0,7
谁都会有老的时候,0,8
谁都没看,0,4
谁放行的,1,4
谁放进去的,0,5
谁敢feng,0,6
谁敢判,1,3
谁干活容易了,0,6
谁给你错峰休假啊,1,8
谁给你的权力,0,6
谁给他这种特权,0,7
谁跟谁啊,0,4
谁规定的不能写诗,0,8
谁还去啊,0,4
谁还想打工,0,5
谁还在乎道歉现在,0,8
谁家都有老人,0,6
谁觉得公摊合适谁就多要公摊,1,13
谁举报,1,3
谁没有,1,3
谁没有爸妈,0,5
谁鸟你,1,3
谁弄的短视频,0,6
谁拍的视频呢,0,6
谁批的,0,3
谁侵犯它了,0,5
谁请你啊我的天,0,7
谁让你不住的,0,6
谁升了,0,3
谁收费谁负责,0,6
谁说是黑丝了,0,6
谁停高架桥的,0,6
谁违规了,0,4
谁问你了,0,4
谁也不会这样,0,6
谁也不能相信,0,6
谁也看不到,0,5
谁知道家属怎么说,0,8
水到腿肚子,0,5
水稻上山,0,4
水果捞,0,3
水火无情人有情,0,7
水量太大了,0,5
水平 文化 教授 就 这 啊,1,14
水平 野球 这种,1,8
水田都没人种了,0,7
水土不服,0,4
税收,0,2
睡不好啊,0,4
睡了还怀,0,4
睡了就不要人家,0,7
睡眠惊跳的原因,0,7
顺便 脑子 顺便 也 瘫 了,1,14
顺便 也 瘫,1,6
顺便打个比赛,0,6
顺藤而上吧,0,5
瞬移 自己 车是 进去 的,1,13
说 不愿 接受,1,7
说 的 部分 是 临期,1,11
说 的 的 是 部分 临期,1,13
说 的 是 部分 临期,1,11
说 鹅 爹 是 恐怖分子,1,12
说 鹅 你 爹 是 恐怖分子,1,14
说 很 难评,1,6
说 酒后 的话 能作数 么,1,13
说 就 说 不愿 接受,1,11
说 了 说,1,5
说 了 说 这么 说,1,10
说 了 这么 说,1,8
说 了 这么 这么 说,1,11
说 临期 是 部分 的,1,11
说 没什么 好 说 的,1,11
说 你 鹅 爹 是 恐怖分子,1,14
说 你 呢,1,5
说 太 宽 我 别管,1,10
说 这 很,1,5
说不道歉的,0,5
说不定别个是断腿残疾人呢,1,12
说不定你也会去,0,7
说辞又变成不方便透露了,1,11
说错了,0,3
说错也不错,0,5
说到了真相,0,5
说到男老色批,0,6
说得过去,0,4
说得好,0,3
说得真好,0,4
说的够明确了,0,6
说的简单,0,4
说的是部分临期,1,7
说的这么含蓄,0,6
说点人话,0,4
说多了,0,3
说多了显得啰嗦,0,7
说惯口了,0,4
说好 不 知道 怎么 说好,1,13
说好 的 俄罗斯 被 攻击 会,1,15
说好的俄罗斯本土被攻击会怎样,1,14
说话难听,0,4
说静蹲有效,0,5
说句不好听的,0,6
说句话我都嫌晦气,0,8
说来,1,2
说来 就 来,1,6
说来 来 就,1,6
说来 说来 就 来,1,9
说来就来,1,4
说了半天没说重点,0,8
说了什么,0,4
说了这么说,1,5
说没有就是没有,0,7
说明不需要捐赠,0,7
说明堕胎了,0,5
说明是真女性,0,6
说明自己真的很蠢,0,8
说牟林翰案,0,5
说你鹅爹是恐怖分子,1,9
说你妈,0,3
说啥呢,0,3
说什么家境贫寒,0,7
说实话,0,3
说实话 啊,1,5
说实话 说实话 啊,1,9
说实话啊,0,4
说实话很无无奈,0,7
说实在我真不知道高铁乘警干嘛的,1,15
说是学校附近,0,6
说说清楚呗,0,5
说他是畜牲是对畜牲的侮辱,1,12
说一堆没用的,0,6
说这些没用,0,5
说真的,0,3
说自己错了,0,5
说走就走,1,4
说走就走 说走就走,1,9
說票就有呀,0,5
司机没刹车,0,5
司机只需赔钱就行,0,8
司空见惯了,0,5
私行,0,2
私家车严禁上站台,0,8
私造 电脑 不能 行,1,10
私造 电脑 电脑 也 不能 行,1,15
私造 电脑 也 不能 行,1,12
私造 也,1,4
私造电脑也不能行,1,8
死 得,1,3
死 得 了 了,1,7
死 还好 没 死,1,8
死 孩子 了,1,6
死 了,1,3
死 了 得 了,1,7
死 了 了,1,5
死 了 了 得,1,7
死 了 死 得 了,1,9
死 没 还好,1,6
死 笑,1,3
死 笑 了,1,5
死 笑 死,1,5
死变态,0,3
死不足惜,1,4
死不足惜 死不足惜,1,9
死臭了,0,3
死道友,0,3
死道友不死贫道,0,7
死了得了,1,4
死了三个小孩,0,6
死命卷有意思,0,6
死透透的,0,4
死刑,0,2
死刑都便宜了他了,0,8
死刑估计难,0,5
死刑就得了,0,5
死刑了,0,3
死刑立即执行啊,0,7
死一个,0,3
死一个少一个,0,6
死一片,0,3
死有余辜,0,4
死者为大,0,4
死者有没有遗产,0,7
四点多被雨吵醒,0,7
四月的旧闻了,0,6
肆意 肆意 诈骗,1,8
肆意 诈骗,1,5
肆意 诈骗 诈骗,1,8
肆意诈骗,1,4
怂包一个,0,4
宋祖儿怎么看,0,6
送 这 是 美国 好 礼 了,1,14
送10平米,0,5
送货上门这是,0,6
送去阿富汗叙利亚,0,8
送人荷花手留香啊,0,8
送我手机,0,4
—苏东坡,0,4
苏杭啊,0,3
苏联垮台以后,0,6
苏州杭州,0,4
素质低到一块儿了,0,8
素质太差,0,4
素质无所谓,0,5
酸 了,1,3
酸 了 了,1,5
酸 酸 了,1,5
酸了,1,2
酸汤煮肉,0,4
蒜泥 碟 香油 碟,1,9
蒜泥 香油,1,5
蒜泥 香油 碟,1,7
蒜泥 香油 碟 碟,1,9
蒜泥香油碟,1,5
算 你 心里 真的 没数 吗,1,14
算还是不算,0,5
算很便宜啦,0,5
算是互殴么?,0,6
算厅级或者副部级,0,8
虽然,0,2
虽然不看好马斯克,0,8
虽然不怕看,0,5
虽然不是自己国家,0,8
虽然不太懂,0,5
虽然拆了墙,0,5
虽然躲过了杜总,0,7
虽然货不对版,0,6
虽然听着感觉很轻,0,8
虽然我不抽烟,0,6
虽然我都会让座,0,7
虽然我开的30,0,7
虽然我是通讯录,0,7
虽然我一直说,0,6
虽然现在也不多,0,7
虽然也讨厌zjk,0,8
虽远必诛,0,4
随便吧,0,3
随便给个数,0,5
随便停,0,3
随个 礼,1,4
随时要用,0,4
随手一拍,0,4
随意啊,0,3
隧道,0,2
孙悟空：开,0,5
损失最小化,0,5
所以,0,2
所以 没 电,1,6
所以 没 电 电,1,8
所以 所以,1,5
所以 所以 没 电,1,9
所以啊,0,3
所以按你的意思,0,7
所以不敢轻易开战,0,8
所以不能互删,0,6
所以不能录取,0,6
所以才发光,0,5
所以才会被骗的,0,7
所以才会说这件事,0,8
所以车是谁的,0,6
所以到底摸没有,0,7
所以都半斤八两,0,7
所以还是那句话,0,7
所以既然离婚了,0,7
所以精神病免责,0,7
所以没电,1,4
所以明白这种心情,0,8
所以你应该倒立看,0,8
所以判刑了吗,0,6
所以强制你消费了,0,8
所以啥事故啊,0,6
所以是不是辅警,0,7
所以是先高考,0,6
所以说彩票碰不得,0,8
所以为所欲为,0,6
所以我把目标定为10-15年,1,14
所以我送你离开,0,7
所以下不为例,0,6
所以先免了职,0,6
所以也没有事实啊,0,8
所以又不是你的,0,7
所以怎么的呢,0,6
所以重逢的日子里,0,8
锁 比较 社会 做 贡献,1,12
锁 家里 为 社会 做 贡献,1,14
锁家里比较为社会做贡献,1,11
锁死,0,2
他 踩 他 脚 上 过去,1,12
他 的 的 腰 不好,1,10
他 的 他 腰 不好,1,10
他 的 腰 不好,1,8
他 脚 上 过去,1,8
他 肯定 拉肚子 拉肚子 了,1,14
他 肯定 拉肚子 了,1,10
他 肯定 了 拉肚子,1,10
他 拉肚子 肯定 拉肚子 了,1,14
他 腰 的 不好,1,8
他背后弯弯zb,0,7
他不是拒绝了吗,0,7
他猖狂了,0,4
他的舞台,0,4
他的腰不好,1,5
他都不嫌我穷,0,6
他都不愿意,0,5
他多次扔,0,4
他发了微博,0,5
他敢吗,0,3
他还能这么做,0,6
他还跳挺好,0,5
他还要脸干嘛,0,6
他还在录,0,4
他还只有个孩子,0,7
他喊这几下,0,5
他会进去的,0,5
他家的粥真的好喝,0,8
他就没想活,0,5
他可能就没命了,0,7
他可能没上过大学,0,8
他肯定拉肚子了,1,7
他俩不坐还让我,0,7
他俩还在一起吗,0,7
他俩是真爱,0,5
他妈的事咋不提,0,7
他妈的他就跑了,0,7
他妈犯罪而已,0,6
他没进去,0,4
他没有犯罪,0,5
他们 都 推荐 哪儿,1,10
他们 都 推荐 哪儿 了,1,12
他们 父母 啊,1,7
他们 了 你 怎么,1,9
他们 了 推荐 哪儿 都,1,12
他们 哦,1,4
他们 他们 都 推荐 哪儿 了,1,15
他们 他们 怎么 你 了,1,12
他们 推荐 都 哪儿 了,1,12
他们 有 打,1,6
他们 有 打 疫苗 哦,1,11
他们 有 有 打 疫苗 哦,1,13
他们 怎么 了 你,1,9
他们 怎么 你 了,1,9
他们不敢正面交锋,0,8
他们不是为了正义,0,8
他们都推荐哪儿了,1,8
他们都在积极铲雪,0,8
他们发到平台,0,6
他们还没做好准备,0,8
他们会看,0,4
他们没从来就没跟群众一起过,1,13
他们去吃的两家店,0,8
他们是太平洋警察,0,8
他们要干嘛,0,5
他们有打疫苗哦,1,7
他们怎么你了,1,6
他們也算中介了,0,7
他能养几家老小,0,7
他爬了什么信息,0,7
他甚至配合走位,0,7
他说的是,0,4
他说一楼已经没了,0,8
他玩文字游戏,0,6
他泄露什么信息了,0,8
他也穿着秋衣的,0,7
他也是人,0,4
他有什么错,0,5
他又哭了,0,4
他真的优秀,0,5
他只是运气不好,0,7
他只是在执行工作,0,8
他值得,0,3
他嘴里喃喃自语,0,7
他做到了,0,4
它儿子又不是女的,0,8
它们 也 不会 彻底 放过 你,1,15
它们 也 不会 放过,1,10
它们 也 彻底 不会 放过 你,1,15
它们霸凌世界,0,6
它们就想搞事情的,0,8
它们两边都有问题,0,8
它们也不会彻底放过你,1,10
它能不安全吗,0,6
她 跟 上床 啦,1,8
她 头天 晚上 跟 评委 啦,1,14
她表现很出色,0,6
她不放心,0,4
她不强制你购物,0,7
她不洗你洗,0,5
她朝着台下扔的,0,7
她得多害怕呀,0,6
她还不会说话呀,0,7
她很无助在那哭,0,7
她可以不坐公交车,0,8
她们的苦谁能懂呢,0,8
她们就是这些的,0,7
她们要的是特权,0,7
她那个体型,0,5
她手好美,0,4
她头天晚上跟评委上床啦,1,11
她媳妇稀有姓,0,6
她媳妇挣得比他多,0,8
她愿意卷那就卷,0,7
塔利班临时政府,0,7
胎也堕了,0,4
台风不断,0,4
台风不是很正常吗,0,8
台风从福建登陆,0,7
台风一个接一个的,0,8
台风已经过了,0,6
台风有没有可能是漂亮国制造的,1,14
台风真厉害,0,5
台风注意安全,0,6
台湾收回来再说吧,0,8
太 北京 这个 天气 太,1,12
太 便宜 他 了,1,8
太 了 便宜 他 了,1,10
太 他 便宜 了,1,8
太 他 了,1,5
太 我 说,1,5
太 这个 可怜 了,1,9
太棒了 也 韩女 吧,1,10
太饱 人,1,4
太便宜他了,1,5
太不容易了,0,5
太残暴了,0,4
太残忍了,0,4
太惨不要看,0,5
太惨啦,0,3
太惨了,0,3
太惨烈了,0,4
太毒了,0,3
太短了,0,3
太对了哥,0,4
太多的情感啊,0,6
太恶劣,0,3
太恶劣了,0,4
太感动了,0,4
太过分了,0,4
太害人,0,3
太好看了,0,4
太好笑啦,0,4
太黑暗了,0,4
太黑了,0,3
太怀疑是摆拍了,0,7
太坏了,0,3
太可恶了,0,4
太可怜了,0,4
太可怕啦,0,4
太可怕了,0,4
太可惜了,0,4
太恐怖了,0,4
太厉害了,0,4
太令人难过了,0,6
太魔怔了,0,4
太难过了,0,4
太难了,0,3
太难受了,0,4
太牛逼了,0,4
太牛了,0,3
太气了,0,3
太轻了,0,3
太入戏了,0,4
太软弱了只能说,0,7
太少了,0,3
太舍不得了,0,5
太熟悉了,0,4
太痛心了,0,4
太危险了,0,4
太无语了,0,4
太羡慕了,0,4
太嚣张,0,3
太心酸了,0,4
太心疼宝宝了,0,6
太严重了,0,4
太阳刚了,0,4
太糟糕了,0,4
太子妈真离谱,0,6
态度很恶劣,0,5
贪便宜,0,3
贪婪之罪,0,4
贪小便宜吃大亏,0,7
谈不上粉,0,4
探亲同时办公,0,6
唐山,0,2
唐山还好,0,4
糖少了没法喝,0,6
躺了不代表就死了,0,8
逃不掉了,0,4
逃到外国了,0,5
讨论 还 停 不停 电,1,11
套上,1,2
套上 流氓,1,5
套上 流氓 套上,1,8
忒不是东西了,0,6
特别军事行动罢了,0,8
特别可贵,0,4
特别是热天,0,5
特别是人多的地方,0,8
特别是私企,0,5
特别是疫情三年,0,7
特别甜,0,3
特别无语,0,4
特大暴雨,0,4
特么别 用 汉语,1,8
特区里面的特别人,0,8
特权 卡,1,4
特权 社会,1,5
特权 社会 社会,1,8
特权 特权 卡,1,7
特权阶级,1,4
特权阶级 特权阶级,1,9
特权卡,1,3
特权社会,1,4
特色,0,2
特殊工时备案到位,0,8
腾讯不出来发声么,0,8
腾讯给了不少钱,0,7
提 裤子 就 不认账 了,1,12
提高 年 假 底限 提高,1,12
提高一下门槛吧,0,7
提前 多天 那么 多天 预警,1,14
提前 多天 预警,1,8
提前 那么 多天 预警,1,11
提前 那么 提前 多天 预警,1,14
提前 为 断腿 做,1,9
提前那么多天预警,1,8
提前一批测评合格,0,8
提前预判,0,4
提上裤子不认人,0,7
提示别挤就行了啊,0,8
提醒大家,0,4
提醒警惕,0,4
题目简单,0,4
体会 自己,1,5
体会 自己 体会,1,8
体量,0,2
体育运动而已,0,6
体制 基层 内,1,7
体制 内 基层,1,7
体制内基层,1,5
剃干净了被,0,5
替你保管,0,4
替他延误的车辆呢,0,8
天啊,0,2
天不塌 只要,1,6
天干人燥,0,4
天津,0,2
天津彩礼少,0,5
天理难容,0,4
天哪,0,2
天呐,0,2
天气 运作 什么 ?,1,10
天气那么热,0,5
天气这么热,0,5
天上日月光,0,5
天上天仙配,0,5
天生的,0,3
天堂无灾,0,4
天天 都 都 上班,1,9
天天 都 上班,1,7
天天不干人事,0,6
天天盯着东北,0,6
天天都上班,1,5
天天喊生育率低,0,7
天天活在恐惧里,0,7
天天尽是盛世,0,6
天天开空调除湿,0,7
天天占着公共资源,0,8
天王老子都没用,0,7
天下犯人都一样,0,7
天意弄人啊,0,5
天有不测风云,0,6
天灾,1,2
